property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,host_has_profile_pic,host_response_rate,instant_bookable,name,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds,price
Apartment,Entire home/apt,"{Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",1,1,Real Bed,flexible,FALSE,LA,"My comfy little abode in the heart of Venice, is minutes from the beach with plenty of permit free street parking. Along with a separate bathroom and spacious kitchen for easy cooking, it'll make it easy to find your rhythm and make the space yours, feeling at home in no time. It's uniquely mine and I put a lot of love into it adding my own personal touches. It's been transformed a few times and it's grown along side me for many years now. If you're looking for an upmarket, modern apartment, you might be looking in the wrong place. The studio is modest, but very cozy and welcoming with a great energy! For bare basics, it has exactly what you need. My spot is lovely and it'll be all yours if you choose to take it. No roommates, no one to answer to and no one to tip toe around. Mine is a small building with only 8 units. Unfortunately there aren't all the bells and whistles in terms of amenities, but we do have a laundry room in the building which is coin operated (coins not provided). A",TRUE,1,FALSE,Cozy Studio minutes from the beach,0,NA,90291,NA,NA,70.00000000000003
Apartment,Entire home/apt,"{Internet,""Air conditioning"",Pool,Kitchen,Gym,""Elevator in building"",""Hot tub"",Heating,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",16,2,Real Bed,strict,FALSE,LA,"3 min to ocean,Walking distance to kosher market, restaurants, theaters, and coffeeshops. 2 minutes to the beach. 2 Private rooms. 3 Super comfortable  beds Parking 20$ per night Welcome! We're looking forward to hosting you in our beautiful home. Enjoy yourself in warm & sunny Los Angeles. The ocean calls your name with a short 3 minute bike ride. LAX is a 15 minute drive away. Centrally located to the 10 & 405 freeway. Whole Foods and Trader Joe's are both a five minute drive from our home. Venice Beach, Abbot Kinney and Santa monica are 15 minutes by bike. LAX is a $15 Uber or Lyft ride away. The 405 and 10 freeway are a 10 minute drive from our home. We have been hosting on airbnb for over four years and love hosting people from all over the world. We are always happy to provide you with insider tips of places to visit. •High speed internet •Ceiling fan with central heating and A/C (per request) •There is plenty of non permitted parking right in front of the house.  •Kitchen access",TRUE,0.99,FALSE,FULL 2 bedroom apt VENICE,7,87,90292,2,3,310.00000000000006
House,Private room,"{""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,1,Real Bed,moderate,TRUE,LA,"W of Lincoln: 14x16 studio, separate entrance & en-suite bath in quiet neighborhood 8 blocks to beach, 1 block to bike path and Abbott Kinney shops and cool eateries. House is airy and light, with meditation/yoga practice room. Bikes available. Ideal for couples & business travelers looking for longer term stays. New construction, clean, airy and modern with ample closet, desk and private spa-like bathroom. Private back yard entrance and small deck. In room, quiet generator powered fridge stocked with beverages and snacks on arrival. (Your responsibility to restock as you need. No requirement to restock what you use.) Microwave and dishes for 2 included. French press coffee and tea provided. Hairdryer, soap, linens, including extra towels, bathrobes and slippers for men and women are also provided. If needed, kitchen access from 7AM to 10AM and 5PM to 8PM with cupboard storage, dishwasher, microwave. Limited fridge space. Washer and dryer and loft space for meditation or yoga practice.",TRUE,1,FALSE,Venice/Marina Studio - 1mi to beach,79,98,90292,1,1,110.99999999999997
House,Private room,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron}",2,1,Real Bed,flexible,TRUE,LA,"My place is close to Abbot Kinney Blvd, LAX, Venice Boardwalk, Venice Pier, Santa Monica Pier, and Marina Del Ray. My place is good for couples, solo adventurers, business travelers, and furry friends (pets).",TRUE,1,TRUE,Modern Ensuite in Venice Beach w/ free bike rental,27,93,90291,1,1,100.00000000000004
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,Essentials,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",2,1,Real Bed,strict,TRUE,LA,"My roomy one bedroom pad is in the best possible location in Venice -- a block from fun and exciting Abbott-Kinney Blvd. and just five blocks to the beach!  At the same time, it's uniquely private and relaxing with a great big gated yard. Super-comfortable living room with plenty of seating, light, 60"" tv, cute reading nook by window.  Bedroom facing backyard with extra large bed.  Also extra office room with desk looking out into backyard and treadmill.  Wooden fence with security gate surrounds property and makes it a quiet private respite.  Ocean breeze keeps apartment cool throughout the summer, even when the rest of L.A. is sweltering.  Area off the large kitchen with washer and dryer, ironing board.  Great water pressure in shower :) My place is the entire bottom floor of a duplex.  The front of the property is totally yours to chill in, the huge backyard is communal with my upstairs neighbors. I may not be in town during your stay, but I encourage you to call/write with any ques",TRUE,0,FALSE,Best Spot in Venice Beach!,2,80,90291,1,1,139.00000000000009
Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",6,2,Real Bed,strict,FALSE,LA,"If you want to enjoy the beach and great amenities this is you apartment, located 5 min walk to the beach, restaurants and Venice. Safe condo with 24h security and private parking. Perfect place for families and people who want to enjoy the beach. This spacious 2 bedroom apartment is located right in the heart of Marina del Rey. Surrounded by some of the most popular restaurants, cafes, shops, and vocational sites in the West Coast of Los Angeles. Walking distance to Venice Canal Walkway, Venice Boardwalk the lovely Marina and much more to discover. Catch a warm sunny day in the heated pool or Jacuzzi, go for a nice jog along the Venice pier, or use our community Gym. Relax at night after exploring the area in the private balcony or leave your screen open to enjoy the ocean sounds in your living room. Please enjoy your stay, If you happen to need anything please don't hesitate to contact me I'm available 24hrs The well known Washington Square which is located at the end of Washington B",TRUE,1,TRUE,"2 BEDROOMS APARTMENT, 3 Queen Beds at the beach!!",22,95,90292,2,3,258.9999999999999
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",4,1,Real Bed,strict,TRUE,LA,"Adorable home 1/2 a block from the beach & Venice Pier, next to Venice Whaler, bike rentals, boardwalk + more! Studio style with a queen bed and sofa bed, full kitchen, bath, living room, private patio, garden, hot tub, bbq, wifi, parking + more! The home offers plenty of amenities to make your stay perfect, all in this ideal location where you can walk to the beach in just 2 minutes!! The queen-sized bed in the bedroom has comfy blankets and extra pillows for the perfect nights rest, plus there is a comfortable pull-out sofa in the living room if needed :) The living room offers lots of seating, great funky Venice Art decor, and a huge 40"" flatscreen with all the premium cable channels. The home is also equipped with free wifi and a dvd player. There is also a great writing desk with large window that looks out into the private patio, just in case you HAVE to do a bit of work on your holiday ;) The kitchen has all you could need to prepare meals… lots of pots and pans, utensils and pl",TRUE,0.9,FALSE,BeachHouse/HotTub/Seconds 2theBEACH,55,95,90291,0,2,144.99999999999997
Apartment,Private room,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,strict,TRUE,LA,"Cool, cozy, surfer community blocks from canals, beach and Abbott Kinney in 2bdrm unit. Pets on property though none of our own. Laid back. One of the only apartment units in the area with a yard; this is a surfers, yogi's, artists et al paradise. Great location for walking everywhere you need to be; the beach, the Venice Canals, Abbott Kinney  - and walking through to Santa Monica.  There are a total of 3 dogs on property; all come and go in the backyard, which you are very welcome to; morning coffee or turn on the lights and have a candle lit dinner out back. You will have access to all areas but the other room. Though my guess is that you will spend most your time outside, please do bring your own groceries in and/or sit down and enjoy something on Hulu or Netflix! Will respond when I can via airbnb or always via text. This location is set up with someone who is also helping out; her # can be found on the fridge along w mine :) If you are looking to stay here you already know this i",TRUE,0.9,FALSE,1bdrm; near beach & Abbott Kinney!,12,100,90291,1,1,119.00000000000013
House,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,Bathtub,""Fireplace guards""}",5,2,Real Bed,strict,TRUE,LA,"Modern beach bungalow less than 100 feet from the sand (and a fine summer surf break)  in a most awesome part of Venice.  The house is in a perfect location on a beautiful walk street, one block from the Venice Canals, and a short hop to Abbot Kinney Modern beach bungalow less than 100 feet from the sand (and a fine summer surf break)  in the most awesome part of Venice.  The house is in a perfect location on a beautiful walk street, one block from the Venice Canals, and a short hop from Abbot Kinney. Relax in the garden fringed by papyrus, grab a lemon or lime from the fruit trees, ride one of the three colorful beach cruisers along the ocean to the farmer's market in Santa Monica, down to the fishing pier in Redondo Beach, or just pop over to one of the swank restruants or boutiques along Abbot Kinney. The house has a spacious airy living room with a fireplace. The kitchen features a massive six burner stove, dual convection oven, bright Le Crueset cookwear and even an indoor grill. ",TRUE,1,FALSE,"Modern Beach Beauty (Venice, CA)",43,98,90291,3,3,489.00000000000017
Apartment,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,strict,TRUE,LA,"My place is close to Abbot Kinney Blvd and 1 block from the Venice Ocean Front Walk. You’ll love my place because of how centrally located this apartment is to all the best aspects of Venice. It's cozy, secure and an excellent option if you are looking to take advantage of the beach. My place is good for couples, solo adventurers, and business travelers.",TRUE,1,FALSE,Venice studio steps from beach and Abbot Kinney,3,87,90291,0,1,50.00000000000004
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",4,1,Real Bed,strict,TRUE,LA,"Only 8  houses from the beach, this home is on a beautiful garden “walking street “ (the houses on the block face each other with a pedestrian walkway separating them, no cars or traffic: just lush gardens facing each other)  Garage parking is conveniently located behind the house.  This works out great, as parking is can be quite difficult.  The garage has an electric door for convenience.  The property is truly a 30 second walk to the beach and boardwalk.  In my humble opinion, it is better than being directly on the boardwalk which can be a bit loud.   I have a private front and back garden, so you would have your own secluded oasis to escape to.   It is beautifully furnished and includes a bunch of amenities like bikes, beach chairs, surfboards.  Located in the very heart of Venice,  there are dozens and dozens of shops, restaurants and activities for all ages.    ",TRUE,0.71,FALSE,Awesome Venice beach house,83,96,90291,1,4,310.00000000000006
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace""}",4,2,Real Bed,strict,TRUE,LA,"Smell the ocean air and feel the ocean breeze from this bungalow. Open floor plan with many skylights that let in natural light, lot's of windows with views of greenery and beautiful skies, 5 blocks to the beach and 1 block to Abbott Kinney. The location is unbeatable, and this charming house will be your perfect vacation home! You'll love this charming house in Venice Beach! The living room has a comfy couch and a giant TV, the dining room has a table with seating for 6. The views of the greenery and the Venice sky are picturesque. There are two bedrooms, two bathrooms, five skylights (even one over the master smoking tub) and a washer and dryer.  The second bedroom is set up as a reading room but we provide an easy electric opening air mattress to accommodate extra guests. You'll have access to the house, the front yard that has a sitting area and the back yard which has a couch, chairs and a table as well as a gas BBQ grill. We provide self check-in instructions but if guests need a",TRUE,0,FALSE,Modern Beach Bungalow -Free Parking,0,NA,90291,2,2,227.00000000000006
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad,Bathtub}",9,2,Real Bed,strict,TRUE,LA,"Our Modern, Bright Condo features a high quality water filtration system throughout.  -1 King & 2 Queen size Beds   Perfectly located on a quiet walk-street one block from the beach and walking distance to dining and entertainment! Seconds to the Beach!  This spacious downstairs apartment is one of the best kept secrets of South Venice.  Enjoy our beautiful and modern beach-inspired furnishings, local artist designs, luxurious King beds in master and 2 queen beds in our guest room with organic cotton linens and pillows, full kitchen, HIGH-SPEED WiFi, 60” LCD FLATSCREEN TV and entertainment system in living room, 40"" FLATSCREEN TV in master bedroom, built-in water filtration system, custom stained concrete and bamboo floors, a BBQ for grilling and an outdoor dining area, perfect to watch sunsets.  You can expect all the comforts of home with a true Venice experience.  It's perfect for families and business travelers and we have additional bedding to accommodations up to 8 people. We're ",TRUE,1,TRUE,Zen Down Venice Beach!,78,96,90292,2,5,278.99999999999994
Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",Essentials,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,strict,TRUE,LA,"Beautiful, large, 1 bedroom, hardwood floors, windows in every room bring amazing light and view of skyline and trees, a hop skip and a jump from Abbot Kinney; the famous walk street full of delicious food and fabulous shopping!  7 blocks to beach! This is my personal home (not a staged home) and there are personal belongings in the space.  It will feel like staying in your friend's cozy home and not a generic hotel. It is available when I am out of town as I live here the rest of the time.  If you do not see a date you are looking for you can message me and perhaps I can make that time available for you! There is plenty of street parking right out front, always spaces available; seriously.  Just watch for street sweeping signs 2 days/week. I will be out of town during your stay and have a neighbor checking you in and out.  The check in times will vary depending on the day and the neighbor's schedule.  You will receive my neighbor's contact info after confirming your stay.  Please addr",TRUE,0,FALSE,Cozy Bungalow in Venice!,15,91,90291,1,1,110.99999999999997
Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",6,2,Real Bed,strict,TRUE,LA,"Rates and cleaning fee negotiable based on group size, just ask:) Stunning Top-Floor Beach House just steps from the sand, sleeps 8+, 2/Bedroom 2/Full Bathrooms plus AMAZING natural charcoal Kamado Grill, back patio fire pit and sectional seating. Just steps to the sand... sleeps 8 people plus additional on convertable sofas, 2/Bedrooms, 2/Full Bathrooms plus full kitchen, huge tv,fireplace... 2 patios, Kamodo BBQ, laundry, parking, cable/wifi and more... a 30 second walk from Washington Blvd and the shops, bars, restaurants and famous Venice Pier, why drive when you can live at the beach!! Welcome!! You have access to the entire apartment, your 2 decks, and the parking garage. OVERVIEW:  Sleeping... two bedrooms (#1 with Cal King bed, #2 with double bunks plus two twin-sized sleeper loungers (this room sleeps 6) that can combine to a full bed, air mattress and sleeper sofa in living room. Baths... 2 full bathrooms with shower heads over traditional bathtubs, Outside... 2 spaces; back ",TRUE,1,TRUE,2 Bedroom/2 Bath at the Beach!,37,97,90291,2,3,150.00000000000009
