fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5.333071983419359
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5.515063329832628
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5.7439746463205665
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6.619159240042791
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6.6262453445233405
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6.217157698236406
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6.216567310970277
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5.388945028651506
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5.942455691983923
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5.962608013767749
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5.73985527921468
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5.73324590572156
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6.535761289997026
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5.002272966085002
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5.608937452547252
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5.836801559431478
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5.751522562699392
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6.452731572557241
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5.535789993824437
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6.53737669531256
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6.001380843576044
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6.3556659538298845
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6.612133090151474
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6.828942130552605
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5.356721999356523
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6.410635125823319
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5.573475898941979
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5.589678303571418
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5.719657292356715
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5.394973045215011
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5.9192039291374385
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5.962570293573663
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7.233523525530472
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5.724497599992901
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5.903634525137022
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5.603474084753543
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5.631507298909128
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6.9373858496546745
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6.850482750684023
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5.579820899059996
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5.821403923910111
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5.113718609092757
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5.764507758663967
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5.623613457195461
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5.148446606704965
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5.080264466581866
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6.464069551322609
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5.779368161456659
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6.73352795955725
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5.817230444401503
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5.170162481255829
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5.94472032552585
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6.293623841367662
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6.149072052445263
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6.719378591282293
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4.324085952481255
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5.778809498529881
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5.394441001815721
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5.67859286791645
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5.775825042743236
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5.187869044020772
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5.029085818910971
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5.135713797062635
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6.6801641781348735
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5.9348229537718
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4.550494084367529
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6.601766235427931
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5.19699448812753
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5.535236610565335
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5.179555739276111
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5.451886494411156
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4.317053351784125
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6.116174670401961
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5.186102156760171
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4.729730096645653
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6.41187207121402
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6.414049681741744
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6.480310129001737
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5.427494465606287
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5.1364903601352125
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5.824679406359792
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6.5923042425420135
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5.794396977638826
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5.769032425712794
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5.918056417256594
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5.862629777053371
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5.316975237801671
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5.259260575985536
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6.7422664519399405
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5.7473611168097705
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5.9179040340241045
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5.793191209202632
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5.133329618256539
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5.287749752169475
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5.194676143815741
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6.784109382657334
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5.128872161731124
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5.129089283524081
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5.072253111284226
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5.0531294834800065
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5.531874436419457
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6.112308241659775
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7.74318771972321
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4.731315477285534
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7.885117687052116
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5.5171110555529594
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5.851930984994397
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5.442796268267557
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6.1578801004216075
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7.4423246388323605
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7.967733667232096
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5.4845879294443876
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5.252458439441398
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7.259689980186522
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6.542015940882266
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6.6498758376110345
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6.336419132305309
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5.0609497462864965
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6.451310850214213
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5.838755033444613
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5.574637334328145
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5.353350377408788
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5.5474260782357305
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5.892718593822792
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6.489990570582449
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5.171632113168016
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5.543030994012952
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6.961467695888132
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4.313683822052553
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6.820514548104256
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6.307054400444031
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5.185453581158072
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6.048346776748076
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5.24567414727062
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7.351106922142208
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6.159022381762043
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6.304097996791825
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5.017548324773088
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6.996552679222077
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.804393312660977
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.086580601753667
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6.869933269685134
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6.554585863370448
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6.421378421830013
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5.067636819090694
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6.56143795652315
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6.070721894269809
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7.211391938850284
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7.5496204134542495
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6.481981448363513
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5.159469854552299
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5.1495789950713515
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6.499272880377248
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6.9405648780521005
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6.334231326589361
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6.188434329582378
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5.269716178299859
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5.530744078103453
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6.021450228523463
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5.7987603074871
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5.1103351002093405
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5.5397982858121395
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5.571233897469938
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7.618951546959579
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5.7148536934982985
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4.123300578678027
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5.311049618758261
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5.945739162620157
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5.500025092391297
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7.1352304990869015
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4.869257820537314
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8.205049612093717
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6.92504589096643
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.886753598228097
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6.136295825242996
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.785349442157894
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5.453303414164111
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5.135742419399321
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5.8852210368495435
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6.3367135401349515
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6.319274115143344
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6.403782814741135
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8.479077307041734
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7.3679018202237785
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6.465690567623824
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7.049892152892426
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5.187356711598113
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7.982659413712099
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5.328274069586769
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5.170996390515938
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6.488254894502461
