Category,PagePop,Checkins,TalkingAbout,CommentsBefore,CommentsFirst24,CharsInPost,NumShares,Promoted,DayOfWeek,Comments
Bank/financial institution,433684,3,8147,14,14,54,44,0,5,2
Bank/financial institution,433684,3,8147,20,20,40,17,0,4,2
Bank/financial institution,433684,3,8147,9,9,80,20,1,4,2
Bank/financial institution,433684,3,8147,16,16,36,64,0,6,3
Bank/financial institution,433684,3,8147,37,37,39,24,0,5,3
Bank/financial institution,433684,3,8147,6,6,17,2,0,4,3
Bank/financial institution,433684,3,8147,13,13,19,78,0,6,6
Bank/financial institution,433684,3,8147,137,137,10,1,0,4,69
Just for fun,446320,42,9288,16,16,29,1,1,5,4
Political party,469336,27,46767,47,47,234,129,1,4,12
Political party,469336,27,46767,8,8,530,147,0,4,19
Political party,469336,27,46767,47,47,238,236,0,4,32
Political party,469336,27,46767,25,25,155,431,0,4,33
Political party,469336,27,46767,128,128,52,819,0,5,43
Political party,469336,27,46767,26,26,0,307,1,5,63
Political party,469336,27,46767,169,169,70,1027,0,5,105
Athlete,516035,139,6941,47,43,16,1,0,4,3
Athlete,516035,139,6941,11,11,33,31,0,4,10
Athlete,516035,139,6941,66,66,0,42,0,5,18
Professional sports team,518247,2800,70669,110,108,0,38,1,4,1
Professional sports team,518247,2800,70669,4,4,123,1,0,5,1
Professional sports team,518247,2800,70669,37,36,147,2,0,5,2
Professional sports team,518247,2800,70669,15,15,11,22,0,4,3
Professional sports team,518247,2800,70669,41,41,171,25,0,5,4
Professional sports team,518247,2800,70669,37,37,177,12,0,5,4
Professional sports team,518247,2800,70669,23,23,123,1,0,5,5
Professional sports team,518247,2800,70669,188,188,109,77,0,4,6
Professional sports team,518247,2800,70669,124,124,172,193,1,4,7
Professional sports team,518247,2800,70669,12,12,126,13,1,5,9
Professional sports team,518247,2800,70669,51,51,101,11,0,5,12
Professional sports team,518247,2800,70669,97,97,0,18,0,6,23
Travel/leisure,519601,373,8078,14,14,90,70,0,4,1
Travel/leisure,519601,373,8078,2,2,107,1,0,5,1
Travel/leisure,519601,373,8078,31,28,20,1,0,4,3
Travel/leisure,519601,373,8078,0,0,161,22,1,7,9
Media/news/publishing,593886,247,2800,0,0,99,1,0,5,1
Community,595191,99,1561,5,5,147,28,0,6,2
Artist,609152,1,16856,27,27,98,1,0,4,12
Artist,609152,1,16856,89,89,94,126,1,5,23
Artist,633016,183,168920,3,3,118,4,0,5,3
Artist,633016,183,168920,172,172,30,220,1,5,123
Local business,655739,628,10260,14,14,56,22,0,4,2
Local business,655739,628,10260,12,12,26,33,0,4,2
Local business,655739,628,10260,17,17,15,132,0,5,12
Just for fun,668216,31,620,2,2,36,2,1,5,3
Professional sports team,668834,4,42523,33,33,93,29,0,6,2
Professional sports team,668834,4,42523,261,261,83,66,0,5,9
Professional sports team,668834,4,42523,0,0,116,70,0,7,268
Professional sports team,672411,1,14221,29,29,177,94,0,5,3
Professional sports team,672411,1,14221,12,12,190,21,0,5,6
Professional sports team,672411,1,14221,0,0,94,98,0,6,105
School sports team,683375,21076,16319,18,18,336,85,0,4,3
School sports team,683375,21076,16319,9,9,148,39,0,6,3
Software,683956,2,30334,3,3,112,58,0,5,6
Professional sports team,854288,22501,22725,22,22,0,22,0,5,1
Professional sports team,854288,22501,22725,72,72,187,132,0,4,2
Professional sports team,854288,22501,22725,49,47,110,109,0,6,4
Professional sports team,854288,22501,22725,65,61,133,229,0,5,7
Professional sports team,879585,11,49540,7,7,109,15,1,6,1
Professional sports team,879585,11,49540,415,415,51,124,0,6,2
Professional sports team,879585,11,49540,38,38,46,33,0,6,2
Professional sports team,879585,11,49540,93,93,100,51,0,6,3
Professional sports team,879585,11,49540,20,20,89,53,0,4,43
Professional sports team,879585,11,49540,153,153,51,101,1,7,196
App page,888531,1,4469,115,115,808,310,0,5,5
Just for fun,926272,1471,1394,4,4,12,1,0,5,1
News/media website,945697,50,25483,21,17,26,22,0,4,1
News/media website,945697,50,25483,46,35,18,20,0,4,1
Professional sports team,952756,8,443107,13,13,53,1,0,7,1
Professional sports team,952756,8,443107,32,32,28,3,0,4,4
Professional sports team,952756,8,443107,16,16,113,23,0,4,5
Professional sports team,952756,8,443107,7,7,475,2,0,4,5
Professional sports team,952756,8,443107,65,65,72,43,1,6,7
Professional sports team,952756,8,443107,52,52,37,34,1,4,7
Professional sports team,952756,8,443107,13,13,22,17,0,6,7
Professional sports team,952756,8,443107,0,0,115,1,0,7,7
Professional sports team,952756,8,443107,50,50,18,68,0,4,11
Professional sports team,952756,8,443107,0,0,101,4,0,6,18
Professional sports team,952756,8,443107,0,0,1446,1,0,7,22
Professional sports team,952756,8,443107,71,71,74,169,0,4,24
Professional sports team,952756,8,443107,0,0,53,84,0,7,29
Professional sports team,952756,8,443107,16,16,209,3,0,4,36
Professional sports team,952756,8,443107,0,0,73,1,0,4,95
Professional sports team,952756,8,443107,198,198,48,330,0,4,246
Professional sports team,952756,8,443107,104,104,51,296,0,4,304
Professional sports team,952756,8,443107,244,244,70,31,0,4,313
Professional sports team,952756,8,443107,145,145,82,465,0,4,403
Professional sports team,952756,8,443107,0,0,57,49,1,7,472
Professional sports team,952756,8,443107,451,451,89,83,0,4,781
Professional sports team,1009493,175714,47503,24,24,104,11,0,7,1
Professional sports team,1009493,175714,47503,27,27,209,17,0,7,1
Professional sports team,1009493,175714,47503,16,16,172,23,0,7,2
Professional sports team,1009493,175714,47503,9,9,154,2,1,7,9
Professional sports team,1009493,175714,47503,71,71,123,74,1,4,10
Professional sports team,1009493,175714,47503,57,57,113,23,0,7,12
Professional sports team,1009493,175714,47503,0,0,194,3,0,7,13
Media/news/publishing,1035604,268,21019,40,40,134,1,1,4,1
Media/news/publishing,1035604,268,21019,44,40,262,30,1,4,1
University,1051998,44057,10512,37,37,281,22,1,5,4
University,1051998,44057,10512,13,13,350,21,1,6,6
University,1051998,44057,10512,281,281,41,34,0,6,315
Professional sports team,1060457,120918,68146,18,18,136,18,0,4,1
Professional sports team,1060457,120918,68146,42,42,117,50,0,5,3
Professional sports team,1060457,120918,68146,45,45,88,59,1,6,3
Professional sports team,1060457,120918,68146,40,40,74,54,1,4,11
Professional sports team,1060457,120918,68146,238,238,50,847,1,6,24
Professional sports team,1060457,120918,68146,78,78,50,259,0,6,32
Athlete,1077012,275,20332,10,10,10,16,0,7,23
Outdoor gear/sporting goods,1103265,3726,10130,4,4,0,1,0,5,2
Outdoor gear/sporting goods,1103265,3726,10130,12,12,44,25,0,6,3
Outdoor gear/sporting goods,1103265,3726,10130,11,11,11,38,0,5,4
Outdoor gear/sporting goods,1103265,3726,10130,59,59,23,1,0,4,16
Outdoor gear/sporting goods,1103265,3726,10130,96,96,19,27,0,5,25
Professional sports team,1203855,88,101567,65,62,48,2,0,6,1
Professional sports team,1203855,88,101567,129,129,64,15,0,6,8
Professional sports team,1203855,88,101567,129,126,45,15,1,5,9
Professional sports team,1203855,88,101567,93,93,42,21,0,6,9
Musician/band,1209904,62,106641,392,392,122,69,0,5,100
Professional sports team,1251509,732,46184,6,6,0,2,0,5,1
Professional sports team,1251509,732,46184,5,5,0,1,0,5,2
Professional sports team,1251509,732,46184,172,164,153,104,0,5,12
Professional sports team,1251509,732,46184,0,0,0,19,0,5,25
Musician/band,1259278,89,98279,25,23,103,5,0,4,1
Musician/band,1259278,89,98279,149,134,88,2280,0,4,19
Professional sports team,1340759,33935,49392,37,37,240,15,1,5,1
Professional sports team,1340759,33935,49392,30,30,0,1,0,5,1
Professional sports team,1340759,33935,49392,10,9,193,5,1,5,1
Professional sports team,1340759,33935,49392,33,33,189,13,0,6,2
Professional sports team,1340759,33935,49392,11,11,81,13,0,6,3
Professional sports team,1340759,33935,49392,58,58,210,16,0,6,6
Professional sports team,1340759,33935,49392,275,275,391,152,1,6,8
Professional sports team,1340759,33935,49392,89,89,328,63,1,5,20
Professional sports team,1340759,33935,49392,30,30,303,18,0,5,24
Movie,1345566,492,6535,84,82,255,1,1,5,10
Athlete,1351556,28,54809,37,35,14,1,1,4,1
Athlete,1351556,28,54809,8,7,121,30,0,4,1
Athlete,1351556,28,54809,16,16,172,37,0,6,3
Athlete,1351556,28,54809,37,37,292,46,1,4,3
Athlete,1351556,28,54809,36,36,55,86,0,6,3
Athlete,1351556,28,54809,5,5,33,2,0,7,5
Athlete,1351556,28,54809,49,49,386,92,0,6,19
Athlete,1351556,28,54809,55,55,171,69,0,6,29
Athlete,1351556,28,54809,130,130,73,555,0,6,31
Athlete,1351556,28,54809,187,187,72,79,0,4,39
Artist,1425417,185,84153,17,17,26,30,0,5,2
Artist,1425417,185,84153,37,37,130,11,1,7,70
Travel/leisure,1428454,138,57810,20,18,0,63,0,5,3
Travel/leisure,1428454,138,57810,96,94,178,1428,0,4,25
Professional sports team,1433518,25951,101466,107,107,226,276,1,6,2
Professional sports team,1433518,25951,101466,26,26,195,49,0,6,5
Professional sports team,1433518,25951,101466,255,255,122,22,0,7,10
Professional sports team,1433518,25951,101466,107,107,323,82,0,5,11
Professional sports team,1433518,25951,101466,106,106,145,216,1,6,11
Professional sports team,1433518,25951,101466,69,69,240,82,0,5,13
Professional sports team,1433518,25951,101466,259,259,363,104,1,5,28
Professional sports team,1483101,1480,82383,31,31,136,19,1,4,7
Professional sports team,1483101,1480,82383,55,55,0,42,0,5,13
Professional sports team,1483101,1480,82383,48,48,56,19,0,5,16
Musician/band,1488908,249,166198,365,365,154,244,0,5,171
Professional sports team,1548753,10803,59597,118,117,108,415,1,5,2
Professional sports team,1548753,10803,59597,119,119,238,336,1,6,3
Professional sports team,1548753,10803,59597,67,67,158,37,0,6,20
Professional sports team,1548753,10803,59597,145,145,146,35,1,6,22
Professional sports team,1548753,10803,59597,0,0,111,182,1,5,34
Professional sports team,1548753,10803,59597,485,485,111,244,1,6,44
Arts/humanities website,1578743,69,2761,1,1,345,1,0,4,1
School sports team,1611220,39,9484,63,63,131,843,0,7,10
Tv/movie award,1631119,5019,197556,197,196,68,485,0,5,8
Personal blog,1720897,1152,10096,10,10,41,1,0,4,2
Personal blog,1720897,1152,10096,25,25,237,15,0,5,2
Personal blog,1720897,1152,10096,0,0,117,4,0,5,2
Personal blog,1720897,1152,10096,5,5,204,1,0,5,4
Personal blog,1720897,1152,10096,93,93,203,14,0,5,14
Professional sports team,1844988,9314,43448,40,38,250,156,1,5,4
Professional sports team,1844988,9314,43448,31,30,94,20,0,5,4
Professional sports team,1844988,9314,43448,160,154,140,418,0,6,10
Professional sports team,1947049,2697,42688,56,54,372,88,0,4,1
Professional sports team,1947049,2697,42688,3,3,118,1,0,5,2
Professional sports team,1947049,2697,42688,19,19,0,2,1,4,2
Professional sports team,1947049,2697,42688,31,31,209,30,0,4,2
Professional sports team,1947049,2697,42688,32,32,339,19,0,6,4
Professional sports team,1947049,2697,42688,29,29,146,5,0,5,6
Professional sports team,1947049,2697,42688,28,28,158,5,0,4,7
Professional sports team,1947049,2697,42688,18,18,172,145,0,5,12
Professional sports team,1947049,2697,42688,25,25,357,52,0,6,17
Artist,1947129,7,242852,32,32,149,306,1,6,5
Artist,1947129,7,242852,15,15,126,103,0,5,6
Artist,1947129,7,242852,113,110,128,649,0,6,8
Artist,1947129,7,242852,110,107,131,652,0,6,12
Artist,1947129,7,242852,161,161,127,807,0,5,17
Artist,1947129,7,242852,18,18,130,373,0,6,31
Artist,1947129,7,242852,97,97,130,481,0,6,34
Artist,1947129,7,242852,144,144,120,754,0,7,67
Professional sports team,1975842,35,140870,88,88,105,505,0,6,2
Professional sports team,1975842,35,140870,9,9,150,17,0,6,2
Professional sports team,1975842,35,140870,22,21,101,51,0,6,3
Professional sports team,1975842,35,140870,30,30,186,25,0,4,8
Professional sports team,1975842,35,140870,180,180,83,994,0,6,21
Professional sports team,1975842,35,140870,146,146,168,1224,0,5,47
Professional sports team,1975842,35,140870,107,107,98,33,0,4,51
Professional sports team,1977515,27412,92370,293,290,121,179,0,5,1
Professional sports team,1977515,27412,92370,11,11,151,3,0,6,2
Professional sports team,1977515,27412,92370,142,142,116,283,1,5,5
Professional sports team,1977515,27412,92370,238,238,31,1955,0,4,72
Arts/entertainment/nightlife,1987780,1349,39333,9,9,35,89,1,4,1
Arts/entertainment/nightlife,1987780,1349,39333,12,11,35,73,0,4,1
Arts/entertainment/nightlife,1987780,1349,39333,12,10,35,42,0,4,2
Arts/entertainment/nightlife,1987780,1349,39333,10,10,35,62,0,5,2
Arts/entertainment/nightlife,1987780,1349,39333,37,36,40,261,0,6,2
Arts/entertainment/nightlife,1987780,1349,39333,7,7,37,87,0,7,2
Arts/entertainment/nightlife,1987780,1349,39333,24,24,35,133,1,4,3
Arts/entertainment/nightlife,1987780,1349,39333,29,22,34,250,0,5,3
Arts/entertainment/nightlife,1987780,1349,39333,8,8,35,81,0,6,3
Arts/entertainment/nightlife,1987780,1349,39333,51,43,40,205,0,5,4
Arts/entertainment/nightlife,1987780,1349,39333,13,13,38,106,0,5,5
Arts/entertainment/nightlife,1987780,1349,39333,0,0,35,32,1,4,14
Media/news/publishing,2012105,4,9530,3,3,87,1,0,4,4
Comedian,2071999,156,150355,13,13,186,28,0,5,1
Comedian,2071999,156,150355,25,25,114,33,0,5,1
Comedian,2071999,156,150355,18,18,76,34,0,5,1
Comedian,2071999,156,150355,10,10,34,11,0,5,1
Comedian,2071999,156,150355,4,4,63,1,1,4,2
Comedian,2071999,156,150355,8,8,4093,24,0,5,2
Comedian,2071999,156,150355,6,6,44,114,0,5,2
Comedian,2071999,156,150355,11,11,2,12,1,5,3
Comedian,2071999,156,150355,20,20,547,109,0,5,5
Comedian,2071999,156,150355,14,14,6,27,0,5,6
Comedian,2071999,156,150355,72,72,116,20,0,5,12
Comedian,2071999,156,150355,12,12,2149,137,0,5,18
Comedian,2071999,156,150355,64,64,652,175,0,5,31
Comedian,2071999,156,150355,43,43,242,78,0,5,46
Comedian,2071999,156,150355,584,584,127,2,0,5,290
Professional sports team,2075758,57,17605,6,6,143,1,1,5,1
Professional sports team,2075758,57,17605,2,2,161,2,0,5,1
Professional sports team,2075758,57,17605,1,1,386,1,1,6,2
Professional sports team,2075758,57,17605,5,5,262,3,0,5,5
Professional sports team,2075758,57,17605,11,11,280,2,1,6,10
Professional sports team,2078654,2715,84453,18,18,182,20,0,5,1
Professional sports team,2078654,2715,84453,73,64,854,86,0,5,3
Professional sports team,2078654,2715,84453,15,14,97,25,1,6,3
Professional sports team,2078654,2715,84453,5,5,100,17,0,6,4
Professional sports team,2078654,2715,84453,24,24,80,17,1,6,6
Professional sports team,2078654,2715,84453,13,13,89,20,0,6,8
Professional sports team,2078654,2715,84453,40,40,531,58,0,5,10
Professional sports team,2078654,2715,84453,186,159,743,745,0,5,11
Professional sports team,2078654,2715,84453,37,37,772,162,0,6,35
Professional sports team,2078654,2715,84453,87,87,1098,164,1,4,38
Professional sports team,2078654,2715,84453,0,0,261,85,0,4,42
Movie,2085271,1,2539,0,0,39,1174,1,6,171
Magazine,2095354,514,74821,6,6,510,53,1,5,2
Magazine,2095354,514,74821,9,9,216,19,0,5,2
Magazine,2095354,514,74821,6,6,26,4,1,5,2
Magazine,2095354,514,74821,0,0,452,19,0,6,3
Magazine,2095354,514,74821,6,6,204,80,0,5,3
Magazine,2095354,514,74821,0,0,114,5,0,7,4
Magazine,2095354,514,74821,9,9,595,11,0,4,4
Magazine,2095354,514,74821,0,0,114,1,0,6,5
Magazine,2095354,514,74821,0,0,95,61,1,7,6
Magazine,2095354,514,74821,26,26,181,186,0,6,10
Magazine,2095354,514,74821,39,39,177,177,0,5,10
Magazine,2095354,514,74821,48,48,160,220,1,5,26
Magazine,2095354,514,74821,80,80,210,351,0,7,55
Education,2136970,7564,16630,20,20,0,176,0,4,2
Education,2136970,7564,16630,94,94,0,34,0,5,9
Professional sports team,2156275,114,47233,88,88,95,55,0,6,1
Professional sports team,2156275,114,47233,66,66,52,59,0,7,1
Professional sports team,2156275,114,47233,50,50,117,62,0,5,1
Professional sports team,2156275,114,47233,69,66,279,68,0,6,2
Professional sports team,2156275,114,47233,85,85,86,33,1,6,10
Professional sports team,2156275,114,47233,44,44,76,59,0,4,18
Professional sports team,2156275,114,47233,590,590,46,662,0,6,304
Athlete,2191816,1,138657,22,22,181,4,0,5,2
Athlete,2191816,1,138657,242,242,224,63,0,4,11
Athlete,2191816,1,138657,58,58,209,87,0,6,12
Athlete,2191816,1,138657,451,435,160,1066,0,4,22
Athlete,2191816,1,138657,107,107,235,44,0,4,35
Movie,2218000,2,44683,33,33,0,4,0,5,10
Professional sports team,2239009,51619,87722,13,13,276,32,0,6,1
Professional sports team,2239009,51619,87722,49,49,90,40,0,6,2
Professional sports team,2239009,51619,87722,37,35,99,60,0,6,2
Professional sports team,2289651,185932,119581,9,9,292,12,0,5,1
Professional sports team,2289651,185932,119581,15,15,171,36,1,6,4
Professional sports team,2289651,185932,119581,46,46,316,151,0,5,9
Professional sports team,2289651,185932,119581,24,24,316,90,1,6,10
Professional sports team,2289651,185932,119581,39,39,151,18,0,7,38
Professional sports team,2289651,185932,119581,298,298,97,294,0,6,64
Artist,2351938,1,297532,1460,1460,81,323,1,6,246
Professional sports team,2415071,1,57857,55,55,237,12,0,6,6
Company,2446860,267,38579,2,2,72,10,0,4,1
Professional sports team,2470711,36,271475,65,65,81,145,0,5,1
Professional sports team,2470711,36,271475,2,2,124,19,0,4,3
Professional sports team,2470711,36,271475,259,258,89,425,0,6,8
Professional sports team,2470711,36,271475,63,63,89,194,0,7,9
Professional sports team,2470711,36,271475,224,224,129,76,0,6,10
Professional sports team,2470711,36,271475,105,105,67,101,0,6,17
Professional sports team,2470711,36,271475,123,123,125,174,0,6,24
Professional sports team,2470711,36,271475,109,109,71,438,1,4,63
Professional sports team,2470711,36,271475,164,164,82,374,0,6,72
Professional sports team,2470711,36,271475,0,0,94,666,0,7,193
Professional sports team,2549867,186370,177095,106,105,129,341,0,5,6
Professional sports team,2549867,186370,177095,187,187,99,96,1,6,8
Professional sports team,2549867,186370,177095,27,27,204,71,0,5,19
Professional sports team,2549867,186370,177095,370,370,80,1572,0,6,33
Professional sports team,2549867,186370,177095,49,49,117,100,0,4,44
Professional sports team,2549867,186370,177095,158,158,91,664,0,6,51
Professional sports team,2549867,186370,177095,117,117,86,226,1,6,57
Professional sports team,2549867,186370,177095,445,445,129,685,1,6,117
Public figure,2637709,69,6939,2,2,26,1,0,6,1
Public figure,2637709,69,6939,1,1,0,1,1,6,1
Public figure,2637709,69,6939,0,0,0,1,0,6,1
Artist,2667410,141,111855,30,30,206,78,1,5,43
Artist,2667410,141,111855,436,436,123,1737,0,6,115
Professional sports team,2697640,79899,31005,16,16,152,58,1,4,1
Professional sports team,2697640,79899,31005,19,16,198,56,0,4,1
Professional sports team,2697640,79899,31005,3,3,237,3,1,4,1
Professional sports team,2697640,79899,31005,25,24,181,27,0,5,2
Professional sports team,2697640,79899,31005,39,39,241,80,1,6,2
Professional sports team,2697640,79899,31005,11,11,252,21,0,7,3
Professional sports team,2697640,79899,31005,8,8,240,4,1,6,5
Professional sports team,2697640,79899,31005,8,8,203,23,0,6,5
Professional sports team,2828720,3966,56668,8,8,87,1,0,6,1
Professional sports team,2828720,3966,56668,12,12,43,55,0,6,2
Professional sports team,2828720,3966,56668,64,55,158,215,0,5,3
Professional sports team,2828720,3966,56668,10,10,88,1,1,5,3
